Speaker,Play,Sex,Lines
SECOND ROMAN,The Tragedy of Coriolanus,Male,1
SECOND SENATOR,The Tragedy of Coriolanus,Male,2
SECOND SERVINGMAN,The Tragedy of Coriolanus,Male,37
SECOND SOLDIER,The Tragedy of Coriolanus,Male,1
SECOND VOLSCIAN SENATOR,The Tragedy of Coriolanus,Male,7
SECOND WATCH,The Tragedy of Coriolanus,Male,12
SENATORS,The Tragedy of Coriolanus,Male,1
SEVENTH CITIZEN,The Tragedy of Coriolanus,Male,3
SICINIUS,The Tragedy of Coriolanus,Male,302
SIXTH CITIZEN,The Tragedy of Coriolanus,Male,2
THIRD CITIZEN,The Tragedy of Coriolanus,Male,53
THIRD CONSPIRATOR,The Tragedy of Coriolanus,Male,12
THIRD LORD,The Tragedy of Coriolanus,Male,2
THIRD ROMAN,The Tragedy of Coriolanus,Male,1
THIRD SERVINGMAN,The Tragedy of Coriolanus,Male,52
TRIBUNES,The Tragedy of Coriolanus,Male,1
VALERIA,The Tragedy of Coriolanus,Female,40
VIRGILIA,The Tragedy of Coriolanus,Female,36
VIRGILIA and VALERIA,The Tragedy of Coriolanus,Female,1
VOLSCE,The Tragedy of Coriolanus,Male,20
VOLUMNIA,The Tragedy of Coriolanus,Female,311
All,"The Tragedy of Hamlet, Prince of Denmark",Male,4
ALL LORDS,"The Tragedy of Hamlet, Prince of Denmark",Male,2
Ambassador,"The Tragedy of Hamlet, Prince of Denmark",Male,6
Ber,"The Tragedy of Hamlet, Prince of Denmark",Male,34
CAPTAIN,"The Tragedy of Hamlet, Prince of Denmark",Male,12
FIRST CLOWN,"The Tragedy of Hamlet, Prince of Denmark",Male,94
FIRST PLAYER,"The Tragedy of Hamlet, Prince of Denmark",Male,96
Fort,"The Tragedy of Hamlet, Prince of Denmark",Male,27
FOURTH PLAYER,"The Tragedy of Hamlet, Prince of Denmark",Male,3
Fran,"The Tragedy of Hamlet, Prince of Denmark",Male,10
Gent,"The Tragedy of Hamlet, Prince of Denmark",Male,14
Gentlemen,"The Tragedy of Hamlet, Prince of Denmark",Male,1
Ghost,"The Tragedy of Hamlet, Prince of Denmark",Male,95
Guil,"The Tragedy of Hamlet, Prince of Denmark",Male,53
Ham,"The Tragedy of Hamlet, Prince of Denmark",Male,1506
HIS FOLLOWERS,"The Tragedy of Hamlet, Prince of Denmark",Male,2
Hor,"The Tragedy of Hamlet, Prince of Denmark",Male,294
HORATIO and MARCELLUS,"The Tragedy of Hamlet, Prince of Denmark",Male,2
Kng,"The Tragedy of Hamlet, Prince of Denmark",Male,552
Laer,"The Tragedy of Hamlet, Prince of Denmark",Male,210
Lord,"The Tragedy of Hamlet, Prince of Denmark",Male,7
Mar,"The Tragedy of Hamlet, Prince of Denmark",Male,61
MARCELLUS and BARNARDO,"The Tragedy of Hamlet, Prince of Denmark",Male,1
MESSENGER,"The Tragedy of Hamlet, Prince of Denmark",Male,16
Oph,"The Tragedy of Hamlet, Prince of Denmark",Female,173
Osr,"The Tragedy of Hamlet, Prince of Denmark",Male,49
Pol,"The Tragedy of Hamlet, Prince of Denmark",Male,357
Priest,"The Tragedy of Hamlet, Prince of Denmark",Male,13
Queen,"The Tragedy of Hamlet, Prince of Denmark",Female,157
Rey,"The Tragedy of Hamlet, Prince of Denmark",Male,15
Ros,"The Tragedy of Hamlet, Prince of Denmark",Male,100
ROSENCRANTZ and GUILDENSTERN,"The Tragedy of Hamlet, Prince of Denmark",Male,2
Sailor,"The Tragedy of Hamlet, Prince of Denmark",Male,5
SECOND CLOWN,"The Tragedy of Hamlet, Prince of Denmark",Male,18
SECOND PLAYER,"The Tragedy of Hamlet, Prince of Denmark",Male,31
THIRD PLAYER,"The Tragedy of Hamlet, Prince of Denmark",Male,6
VOICES,"The Tragedy of Hamlet, Prince of Denmark",Male,1
Volt,"The Tragedy of Hamlet, Prince of Denmark",Male,21
VOLTEMAND and CORNELIUS,"The Tragedy of Hamlet, Prince of Denmark",Male,1
ALL,THE TRAGEDY OF JULIUS CAESAR,Male,12
ANTONY,THE TRAGEDY OF JULIUS CAESAR,Male,329
ARTEMIDORUS,THE TRAGEDY OF JULIUS CAESAR,Male,19
BRUTUS,THE TRAGEDY OF JULIUS CAESAR,Male,722
CAESAR,THE TRAGEDY OF JULIUS CAESAR,Male,151
CALPURNIA,THE TRAGEDY OF JULIUS CAESAR,Female,27
CARPENTER,THE TRAGEDY OF JULIUS CAESAR,Male,1
CASCA,THE TRAGEDY OF JULIUS CAESAR,Male,130
CASSIUS,THE TRAGEDY OF JULIUS CAESAR,Male,507
CATO,THE TRAGEDY OF JULIUS CAESAR,Male,8
CICERO,THE TRAGEDY OF JULIUS CAESAR,Male,9
CINNA,THE TRAGEDY OF JULIUS CAESAR,Male,18
CINNA THE POET,THE TRAGEDY OF JULIUS CAESAR,Male,14
CITIZENS,THE TRAGEDY OF JULIUS CAESAR,Male,1
CLAUDIO,THE TRAGEDY OF JULIUS CAESAR,Male,2
CLITUS,THE TRAGEDY OF JULIUS CAESAR,Male,10
COBBLER,THE TRAGEDY OF JULIUS CAESAR,Male,16
DARDANIUS,THE TRAGEDY OF JULIUS CAESAR,Male,3
DECIUS,THE TRAGEDY OF JULIUS CAESAR,Male,44
FIRST CITIZEN,THE TRAGEDY OF JULIUS CAESAR,Male,21
FIRST SOLDIER,THE TRAGEDY OF JULIUS CAESAR,Male,1
FIRST SOLDIER FOR ANTONY,THE TRAGEDY OF JULIUS CAESAR,Male,4
FLAVIUS,THE TRAGEDY OF JULIUS CAESAR,Male,27
FOURTH CITIZEN,THE TRAGEDY OF JULIUS CAESAR,Male,22
GHOST,THE TRAGEDY OF JULIUS CAESAR,Male,3
LEPIDUS,THE TRAGEDY OF JULIUS CAESAR,Male,4
LIGARIUS,THE TRAGEDY OF JULIUS CAESAR,Male,16
LUCILIUS,THE TRAGEDY OF JULIUS CAESAR,Male,30
LUCIUS,THE TRAGEDY OF JULIUS CAESAR,Male,33
MARULLUS,THE TRAGEDY OF JULIUS CAESAR,Male,31
MESSALA,THE TRAGEDY OF JULIUS CAESAR,Male,38
MESSENGER,THE TRAGEDY OF JULIUS CAESAR,Male,4
METELLUS,THE TRAGEDY OF JULIUS CAESAR,Male,17
OCTAVIUS,THE TRAGEDY OF JULIUS CAESAR,Male,47
PINDARUS,THE TRAGEDY OF JULIUS CAESAR,Male,17
POET,THE TRAGEDY OF JULIUS CAESAR,Male,7
POPILIUS,THE TRAGEDY OF JULIUS CAESAR,Male,2
PORTIA,THE TRAGEDY OF JULIUS CAESAR,Female,92
PUBLIUS,THE TRAGEDY OF JULIUS CAESAR,Male,2
SECOND CITIZEN,THE TRAGEDY OF JULIUS CAESAR,Male,25
SECOND SOLDIER,THE TRAGEDY OF JULIUS CAESAR,Male,2
SERVANT,THE TRAGEDY OF JULIUS CAESAR,Male,10
SERVANT OF ANTONY,THE TRAGEDY OF JULIUS CAESAR,Male,20
SOOTHSAYER,THE TRAGEDY OF JULIUS CAESAR,Male,18
STRATO,THE TRAGEDY OF JULIUS CAESAR,Male,7
THIRD CITIZEN,THE TRAGEDY OF JULIUS CAESAR,Male,23
THIRD SOLDIER,THE TRAGEDY OF JULIUS CAESAR,Male,1
TITINIUS,THE TRAGEDY OF JULIUS CAESAR,Male,31
TITINIUS and MESSALA,THE TRAGEDY OF JULIUS CAESAR,Male,1
TREBONIUS,THE TRAGEDY OF JULIUS CAESAR,Male,8
VARRO,THE TRAGEDY OF JULIUS CAESAR,Male,4
VARRO and CLAUDIUS,THE TRAGEDY OF JULIUS CAESAR,Male,2
VOLUMNIUS,THE TRAGEDY OF JULIUS CAESAR,Male,3
Alb,THE TRAGEDY OF KING LEAR,Male,159
ALBANY and CORNWALL,THE TRAGEDY OF KING LEAR,Male,1
Bur,THE TRAGEDY OF KING LEAR,Male,12
Capt,THE TRAGEDY OF KING LEAR,Male,3
Cor,THE TRAGEDY OF KING LEAR,Female,117
Corn,THE TRAGEDY OF KING LEAR,Male,109
Cur,THE TRAGEDY OF KING LEAR,Male,9
Doct,THE TRAGEDY OF KING LEAR,Male,18
Edg,THE TRAGEDY OF KING LEAR,Male,392
Edm,THE TRAGEDY OF KING LEAR,Male,307
FIRST SERVANT,THE TRAGEDY OF KING LEAR,Male,10
Fool,THE TRAGEDY OF KING LEAR,Male,227
France,THE TRAGEDY OF KING LEAR,Male,32
Gent,THE TRAGEDY OF KING LEAR,Male,82
Glou,THE TRAGEDY OF KING LEAR,Male,338
Gon,THE TRAGEDY OF KING LEAR,Female,199
Her,THE TRAGEDY OF KING LEAR,Male,10
Kent,THE TRAGEDY OF KING LEAR,Male,368
Knight,THE TRAGEDY OF KING LEAR,Male,16
Lear,THE TRAGEDY OF KING LEAR,Male,749
Mess,THE TRAGEDY OF KING LEAR,Male,20
OLD MAN,THE TRAGEDY OF KING LEAR,Male,12
Osw,THE TRAGEDY OF KING LEAR,Male,78
Reg,THE TRAGEDY OF KING LEAR,Female,190
SECOND OFFICER,THE TRAGEDY OF KING LEAR,Male,1
SECOND SERVANT,THE TRAGEDY OF KING LEAR,Male,5
THIRD SERVANT,THE TRAGEDY OF KING LEAR,Male,5
ALL,THE TRAGEDY OF MACBETH,Male,2
ALL LORDS,THE TRAGEDY OF MACBETH,Male,3
ALL WITCHES,THE TRAGEDY OF MACBETH,Female,19
ANGUS,THE TRAGEDY OF MACBETH,Male,21
BANQUO,THE TRAGEDY OF MACBETH,Male,113
BOTH MURTHERERS,THE TRAGEDY OF MACBETH,Male,3
CAITHNESS,THE TRAGEDY OF MACBETH,Male,11
CAPTAIN,THE TRAGEDY OF MACBETH,Male,36
DONALBAIN,THE TRAGEDY OF MACBETH,Male,8
DUNCAN,THE TRAGEDY OF MACBETH,Male,70
ENGLISH DOCTOR,THE TRAGEDY OF MACBETH,Male,48
FIRST APPARITION,THE TRAGEDY OF MACBETH,Male,2
FIRST MURDERER,THE TRAGEDY OF MACBETH,Male,25
FIRST WITCH,THE TRAGEDY OF MACBETH,Female,61
FLEANCE,THE TRAGEDY OF MACBETH,Male,2
GENTLEWOMAN,THE TRAGEDY OF MACBETH,Female,24
HECAT,THE TRAGEDY OF MACBETH,Female,39
LADY MACBETH,THE TRAGEDY OF MACBETH,Female,259
LADY MACDUFF,THE TRAGEDY OF MACBETH,Female,43
LENNOX,THE TRAGEDY OF MACBETH,Male,70
LORD,THE TRAGEDY OF MACBETH,Male,21
LORDS,THE TRAGEDY OF MACBETH,Male,3
MACBETH,THE TRAGEDY OF MACBETH,Male,715
MACBETH and LENNOX,THE TRAGEDY OF MACBETH,Male,1
MACDUFF,THE TRAGEDY OF MACBETH,Male,180
MALCOLM,THE TRAGEDY OF MACBETH,Male,211
MENTEITH,THE TRAGEDY OF MACBETH,Male,12
MESSENGER,THE TRAGEDY OF MACBETH,Male,14
MESSENGER TO WIFE,THE TRAGEDY OF MACBETH,Male,9
MURTHERER,THE TRAGEDY OF MACBETH,Male,4
OLD MAN,THE TRAGEDY OF MACBETH,Male,11
PORTER,THE TRAGEDY OF MACBETH,Male,33
ROSS,THE TRAGEDY OF MACBETH,Male,135
SECOND APPARITION,THE TRAGEDY OF MACBETH,Male,4
SECOND MURTHERER,THE TRAGEDY OF MACBETH,Male,15
SECOND WITCH,THE TRAGEDY OF MACBETH,Female,26
SERVANT,THE TRAGEDY OF MACBETH,Male,6
SEYTON,THE TRAGEDY OF MACBETH,Male,5
SEYWARD,THE TRAGEDY OF MACBETH,Male,30
SOLDIERS,THE TRAGEDY OF MACBETH,Male,1
SON,THE TRAGEDY OF MACBETH,Male,20
THIRD APPARITION,THE TRAGEDY OF MACBETH,Male,5
THIRD MURTHERER,THE TRAGEDY OF MACBETH,Male,8
THIRD WITCH,THE TRAGEDY OF MACBETH,Female,27
WIFE,THE TRAGEDY OF MACBETH,Female,42
YOUNG SiWARD,THE TRAGEDY OF MACBETH,Male,7
ALL,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",Male,1
ALL LORDS,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",Male,1
BIANCA,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",Female,35
BRABANTIO,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",Male,139
CASSIO,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",Male,274
CLOWN,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",Male,28
DESDEMONA,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",Female,391
DUKE,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",Male,71
EMILIA,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",Female,243
FIRST GENTLEMAN,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",Male,3
FIRST MUSICIAN,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",Male,5
FIRST OFFICER,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",Male,5
FIRST SENATOR,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",Male,25
FOURTH GENTLEMAN,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",Male,2
GENTLEMAN,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",Male,3
GRATIANO,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",Male,30
HERALD,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",Male,11
IAGO,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",Male,1088
LODOVICO,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",Male,77
MESSENGER,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",Male,9
MONTANO,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",Male,62
OTHELLO,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",Male,880
RODERIGO,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",Male,119
SAILOR,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",Male,4
SECOND GENTLEMAN,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",Male,12
SECOND SENATOR,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",Male,5
SENATORS,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",Male,1
THIRD GENTLEMAN,"THE TRAGEDY OF OTHELLO, MOOR OF VENICE",Male,17
A FOLLOWER,THE TRAGEDY OF ROMEO AND JULIET,Male,1
Abr,THE TRAGEDY OF ROMEO AND JULIET,Male,5
Apoth,THE TRAGEDY OF ROMEO AND JULIET,Male,7
Bal,THE TRAGEDY OF ROMEO AND JULIET,Male,32
Ben,THE TRAGEDY OF ROMEO AND JULIET,Male,161
Cap,THE TRAGEDY OF ROMEO AND JULIET,Male,272
Chor,THE TRAGEDY OF ROMEO AND JULIET,Male,28
Citizen,THE TRAGEDY OF ROMEO AND JULIET,Male,2
Citizens,THE TRAGEDY OF ROMEO AND JULIET,Male,5
COUSIN CAPULET,THE TRAGEDY OF ROMEO AND JULIET,Male,3
FIDDLER,THE TRAGEDY OF ROMEO AND JULIET,Male,1
FIRST MUSICIAN,THE TRAGEDY OF ROMEO AND JULIET,Male,12
FIRST SERVINGMAN,THE TRAGEDY OF ROMEO AND JULIET,Male,10
FIRST WATCHMAN,THE TRAGEDY OF ROMEO AND JULIET,Male,18
FOURTH SERVINGMAN,THE TRAGEDY OF ROMEO AND JULIET,Male,3
Friar,THE TRAGEDY OF ROMEO AND JULIET,Male,332
FRIAR JOHN,THE TRAGEDY OF ROMEO AND JULIET,Male,1
Greg,THE TRAGEDY OF ROMEO AND JULIET,Male,22
John,THE TRAGEDY OF ROMEO AND JULIET,Male,12
Jul,THE TRAGEDY OF ROMEO AND JULIET,Female,542
Ladt,THE TRAGEDY OF ROMEO AND JULIET,Female,115
Laur,THE TRAGEDY OF ROMEO AND JULIET,Male,14
Mer,THE TRAGEDY OF ROMEO AND JULIET,Male,259
Mon,THE TRAGEDY OF ROMEO AND JULIET,Male,41
Nurse,THE TRAGEDY OF ROMEO AND JULIET,Female,277
Page,THE TRAGEDY OF ROMEO AND JULIET,Male,9
Par,THE TRAGEDY OF ROMEO AND JULIET,Male,69
Pet,THE TRAGEDY OF ROMEO AND JULIET,Male,33
Prince,THE TRAGEDY OF ROMEO AND JULIET,Male,75
Rom,THE TRAGEDY OF ROMEO AND JULIET,Male,617
Samp,THE TRAGEDY OF ROMEO AND JULIET,Male,35
SECOND MUSICIAN,THE TRAGEDY OF ROMEO AND JULIET,Male,6
SECOND SERVINGMAN,THE TRAGEDY OF ROMEO AND JULIET,Male,5
SECOND WATCHMAN,THE TRAGEDY OF ROMEO AND JULIET,Male,1
Serv,THE TRAGEDY OF ROMEO AND JULIET,Male,22
SERVINGMAN,THE TRAGEDY OF ROMEO AND JULIET,Male,6
THIRD MUSICIAN,THE TRAGEDY OF ROMEO AND JULIET,Male,1
THIRD SERVINGMAN,THE TRAGEDY OF ROMEO AND JULIET,Male,1
THIRD WATCHMAN,THE TRAGEDY OF ROMEO AND JULIET,Male,3
Tyb,THE TRAGEDY OF ROMEO AND JULIET,Male,36
WATCHMAN,THE TRAGEDY OF ROMEO AND JULIET,Male,1
Wife,THE TRAGEDY OF ROMEO AND JULIET,Female,3
A GOTH,THE TRAGEDY OF TITUS ANDRONICUS,Male,5
A ROMAN,THE TRAGEDY OF TITUS ANDRONICUS,Male,3
A ROMAN,THE TRAGEDY OF TITUS ANDRONICUS,Male,2
AARON,THE TRAGEDY OF TITUS ANDRONICUS,Male,357
AEMILIUS,THE TRAGEDY OF TITUS ANDRONICUS,Male,18
ALL,THE TRAGEDY OF TITUS ANDRONICUS,Male,2
ALL THE GOTHS,THE TRAGEDY OF TITUS ANDRONICUS,Male,1
BASSIANUS,THE TRAGEDY OF TITUS ANDRONICUS,Male,63
BOY,THE TRAGEDY OF TITUS ANDRONICUS,Male,44
CAPTAIN,THE TRAGEDY OF TITUS ANDRONICUS,Male,6
CHIRON,THE TRAGEDY OF TITUS ANDRONICUS,Male,53
CLOWN,THE TRAGEDY OF TITUS ANDRONICUS,Male,23
DEMETRIUS,THE TRAGEDY OF TITUS ANDRONICUS,Male,94
FIRST GOTH,THE TRAGEDY OF TITUS ANDRONICUS,Male,8
LAVINIA,THE TRAGEDY OF TITUS ANDRONICUS,Female,59
LUCIUS,THE TRAGEDY OF TITUS ANDRONICUS,Male,179
MARCUS,THE TRAGEDY OF TITUS ANDRONICUS,Male,329
MARTIUS,THE TRAGEDY OF TITUS ANDRONICUS,Male,32
MARTIUS and QUINTUS,THE TRAGEDY OF TITUS ANDRONICUS,Male,1
MESSENGER,THE TRAGEDY OF TITUS ANDRONICUS,Male,7
MUTIUS,THE TRAGEDY OF TITUS ANDRONICUS,Male,4
NURSE,THE TRAGEDY OF TITUS ANDRONICUS,Female,19
PUBLIUS,THE TRAGEDY OF TITUS ANDRONICUS,Male,14
QUINTUS,THE TRAGEDY OF TITUS ANDRONICUS,Male,25
SATURNINUS,THE TRAGEDY OF TITUS ANDRONICUS,Male,210
SECOND GOTH,THE TRAGEDY OF TITUS ANDRONICUS,Male,20
TAMORA,THE TRAGEDY OF TITUS ANDRONICUS,Female,257
TITUS,THE TRAGEDY OF TITUS ANDRONICUS,Male,711
TRIBUNES,THE TRAGEDY OF TITUS ANDRONICUS,Male,3
ANTONIO,THE TWO GENTLEMEN OF VERONA,Male,35
DUKE,THE TWO GENTLEMEN OF VERONA,Male,200
EGLAMOUR,THE TWO GENTLEMEN OF VERONA,Male,28
FIRST OUTLAW,THE TWO GENTLEMEN OF VERONA,Male,21
HOST,THE TWO GENTLEMEN OF VERONA,Male,38
JULIA,THE TWO GENTLEMEN OF VERONA,Female,322
LAUNCE,THE TWO GENTLEMEN OF VERONA,Male,201
LUCETTA,THE TWO GENTLEMEN OF VERONA,Female,72
OUTLAWS,THE TWO GENTLEMEN OF VERONA,Male,1
PANTHINO,THE TWO GENTLEMEN OF VERONA,Male,44
PROTEUS,THE TWO GENTLEMEN OF VERONA,Male,446
SECOND OUTLAW,THE TWO GENTLEMEN OF VERONA,Male,16
SERVANT,THE TWO GENTLEMEN OF VERONA,Male,1
SILVIA,THE TWO GENTLEMEN OF VERONA,Female,158
SPEED,THE TWO GENTLEMEN OF VERONA,Male,196
THIRD OUTLAW,THE TWO GENTLEMEN OF VERONA,Male,25
THURIO,THE TWO GENTLEMEN OF VERONA,Male,55
VALENTINE,THE TWO GENTLEMEN OF VERONA,Male,391
ANTIGONUS,THE WINTER'S TALE,Male,111
ARCHIDAMUS,THE WINTER'S TALE,Male,21
AUTOLYCUS,THE WINTER'S TALE,Male,291
CAMILLO,THE WINTER'S TALE,Male,298
CLEOMENES,THE WINTER'S TALE,Male,23
CLEOMENES and DION,THE WINTER'S TALE,Male,1
CLOWN,THE WINTER'S TALE,Male,183
DION,THE WINTER'S TALE,Male,27
DORCAS,THE WINTER'S TALE,Female,13
EMILIA,THE WINTER'S TALE,Female,20
FIRST GENTLEMAN,THE WINTER'S TALE,Male,28
FIRST LADY,THE WINTER'S TALE,Female,9
FIRST LORD,THE WINTER'S TALE,Male,3
FLORIZEL,THE WINTER'S TALE,Male,205
GAOLER,THE WINTER'S TALE,Male,13
GENTLEMAN,THE WINTER'S TALE,Male,18
HERMIONE,THE WINTER'S TALE,Female,211
LEONTES,THE WINTER'S TALE,Male,686
LORD,THE WINTER'S TALE,Male,60
MAMILLIUS,THE WINTER'S TALE,Male,22
MARINER,THE WINTER'S TALE,Male,11
MOPSA,THE WINTER'S TALE,Female,21
OFFICER,THE WINTER'S TALE,Male,25
PAULINA,THE WINTER'S TALE,Female,332
PERDITA,THE WINTER'S TALE,Female,126
POLIXENES,THE WINTER'S TALE,Male,272
SECOND GENTLEMAN,THE WINTER'S TALE,Male,16
SECOND LADY,THE WINTER'S TALE,Female,4
SERVANT,THE WINTER'S TALE,Male,15
SHEPHERD,THE WINTER'S TALE,Male,137
SHEPHERD'S SERVANT,THE WINTER'S TALE,Male,35
THIRD GENTLEMAN,THE WINTER'S TALE,Male,63
TIME,THE WINTER'S TALE,Male,32
AGUECHEEK,"TWELFTH NIGHT; OR, WHAT YOU WILL",Male,162
ANTONIO,"TWELFTH NIGHT; OR, WHAT YOU WILL",Male,106
CAPTAIN,"TWELFTH NIGHT; OR, WHAT YOU WILL",Male,32
CLOWN,"TWELFTH NIGHT; OR, WHAT YOU WILL",Male,306
CURIO,"TWELFTH NIGHT; OR, WHAT YOU WILL",Male,7
DUKE,"TWELFTH NIGHT; OR, WHAT YOU WILL",Male,220
FABIAN,"TWELFTH NIGHT; OR, WHAT YOU WILL",Male,113
FIRST OFFICER,"TWELFTH NIGHT; OR, WHAT YOU WILL",Male,12
MALVOLIO,"TWELFTH NIGHT; OR, WHAT YOU WILL",Male,281
MARIA,"TWELFTH NIGHT; OR, WHAT YOU WILL",Female,149
OLIVIA,"TWELFTH NIGHT; OR, WHAT YOU WILL",Female,314
PRIEST,"TWELFTH NIGHT; OR, WHAT YOU WILL",Male,8
SEBASTIAN,"TWELFTH NIGHT; OR, WHAT YOU WILL",Male,124
SECOND OFFICER,"TWELFTH NIGHT; OR, WHAT YOU WILL",Male,4
SERVANT,"TWELFTH NIGHT; OR, WHAT YOU WILL",Male,3
SIR TOBY,"TWELFTH NIGHT; OR, WHAT YOU WILL",Male,343
VALENTINE,"TWELFTH NIGHT; OR, WHAT YOU WILL",Male,14
VIOLA,"TWELFTH NIGHT; OR, WHAT YOU WILL",Female,335
